Test Case ID,Category,Test Case Name,Priority,Preconditions,Steps,Expected Result
TC-099,Admin - Partner Users,List partner users,Medium,"Logged in as admin. Partner has users.","1. Navigate to /admin/partners/:id
2. View users section","All partner users listed with email, name, role, isActive, lastLoginAt (password hash NOT shown)."
TC-100,Admin - Test Webhook,Test purchase via admin,Medium,"Logged in as admin. AppSumo partner exists.","1. Navigate to /admin/appsumo
2. Send test purchase event with license_key and tier
3. Check DB","License created/updated in DB. Response shows success and license object. NOTE: No Heimdall sync happens via this endpoint."
TC-101,Admin - Test Webhook,Test upgrade via admin,Medium,"Logged in as admin. Previous license exists.","1. Send test upgrade via admin panel
2. Provide prev_license_key, new_license_key, new_tier
3. Check DB","DB updated: old key upgraded, new key created. NOTE: Heimdall is NOT synced via admin test endpoint — this is known behavior. To test full Heimdall sync, use the real webhook endpoint."
TC-102,Admin - Test Webhook,Test downgrade via admin,Medium,"Logged in as admin. Previous license exists.","1. Send test downgrade via admin panel
2. Provide prev_license_key, new_license_key, new_tier","DB updated locally. Heimdall NOT synced (admin test only)."
TC-103,Admin - Test Webhook,Test deactivate via admin,Medium,"Logged in as admin. License exists.","1. Send test deactivate via admin panel with license_key","License marked deactivated in DB. Heimdall NOT synced (admin test only)."
TC-104,Admin - Stats,Global stats accuracy,Medium,"Logged in as admin. Multiple partners with licenses.","1. Navigate to /admin/dashboard or GET /api/admin/stats","Shows totalPartners, totalKeys, totalRedeemed, totalActive. Per-partner breakdown with all status counts and tier distribution. Numbers match actual DB counts."
TC-105,E2E - Full Lifecycle,Complete lifecycle: purchase → activate → redeem → upgrade → deactivate,Critical,"AppSumo partner configured. Heimdall accessible. Fresh state.","1. Send purchase webhook: {event: 'purchase', license_key: 'KEY-1', tier: 1}
2. Verify KEY-1 in DB with status 'consumed'
3. Send activate webhook: {event: 'activate', license_key: 'KEY-1'}
4. Verify KEY-1 status still 'consumed'
5. Complete OAuth flow with KEY-1
6. Submit signup form (email, name, password)
7. Verify KEY-1 status='redeemed', Heimdall data populated
8. Verify Heimdall workspace has appsumo_tier_1 plan
9. Send upgrade webhook: {event: 'upgrade', prev_license_key: 'KEY-1', license_key: 'KEY-2', tier: 2}
10. Verify KEY-1 status='upgraded', KEY-2 status='redeemed' with Heimdall data
11. Verify Heimdall workspace has appsumo_tier_2 plan
12. Send deactivate webhook: {event: 'deactivate', license_key: 'KEY-2'}
13. Verify KEY-2 status='deactivated'
14. Verify Heimdall workspace restored to FREEMIUM","Every step produces the expected DB state and Heimdall state. No data loss. Full event audit trail exists for both KEY-1 and KEY-2."
TC-106,E2E - Full Lifecycle,Complete lifecycle: purchase → redeem → downgrade → upgrade → deactivate,Critical,"Same as TC-105","1. Purchase KEY-1 tier 3
2. OAuth + signup with KEY-1
3. Verify Heimdall on appsumo_tier_3
4. Downgrade: KEY-1→KEY-2, tier 1
5. Verify Heimdall on appsumo_tier_1
6. Upgrade: KEY-2→KEY-3, tier 2
7. Verify Heimdall on appsumo_tier_2
8. Deactivate KEY-3
9. Verify Heimdall on FREEMIUM","Complete lifecycle with mixed up/down operations works correctly. Each step updates both DB and Heimdall. Heimdall data chains through all keys."
TC-107,E2E - Event Audit,Verify complete event trail for upgraded license,High,"License has gone through purchase → activate → redeem → upgrade","1. GET /api/partner/licenses/:licenseKey for the original key
2. Check event history
3. GET events for the new key","Original key: events for purchase, activate, redeem, upgrade (status→upgraded).
New key: event for upgrade (status→redeemed).
All events have correct timestamps, triggeredBy, tier, previousTier, webhookPayload."
TC-108,Edge Case,Duplicate webhook delivery (idempotency),High,"Upgrade webhook already processed. KEY-1 is 'upgraded', KEY-2 is 'redeemed'.","1. Send the same upgrade webhook again
2. Check DB","KEY-1 stays 'upgraded'. KEY-2 gets updated again (same data, effectively idempotent). No duplicate license created. Two events created for KEY-2 (not ideal but not breaking). Heimdall sync runs again (idempotent update)."
TC-109,Edge Case,Webhooks arrive out of order: activate before purchase,High,"License key does NOT exist in DB.","1. Send activate webhook first (before purchase)
2. Then send purchase webhook","After activate: License created in DB with status 'consumed' (fix ensures creation).
After purchase: Existing license found, status stays 'consumed'. No error."
TC-110,Edge Case,Webhooks arrive out of order: upgrade before purchase,Medium,"Neither old nor new key exists in DB.","1. Send upgrade webhook with both keys not in DB","Old key not found — not updated but event created. New key created with 'redeemed' status but no Heimdall data. Heimdall sync skipped. No crash."
TC-111,Edge Case,Concurrent webhook requests,Medium,"Same license key targeted by two webhooks simultaneously.","1. Send activate and purchase webhooks for same key at the exact same time","Both should complete without crashing. Possible race condition on insert (unique constraint on license_key). One may fail with constraint violation — verify no 500 error leaks and the key ends up in correct state."
TC-112,Edge Case,Very long notes field,Low,"Logged in as partner.","1. Generate licenses with notes field containing 10000 characters","Should succeed. Notes stored as TEXT (no length limit in schema)."
TC-113,Edge Case,Deactivate already deactivated license,Medium,"License already has status 'deactivated'.","1. Send deactivate webhook for already-deactivated key","License stays deactivated (deactivatedAt updated). Event created with previousStatus='deactivated'. Heimdall sync runs if data exists. No error."
TC-114,Edge Case,Upgrade an already upgraded license,Medium,"License already has status 'upgraded'.","1. Send upgrade webhook with prev_license_key pointing to already-upgraded key","Old key updated to 'upgraded' again. New key created. Heimdall data may be null if it was cleared. Check that previousKey chain doesn't break."
TC-115,Security,SQL injection in license search,High,"Logged in as partner.","1. Navigate to /partner/licenses
2. Search for: ' OR 1=1 --","Search should return no results or only exact matches. No SQL injection. Drizzle ORM parameterizes queries."
TC-116,Security,XSS in notes field,Medium,"Logged in as partner.","1. Generate licenses with notes: <script>alert('xss')</script>
2. View license detail","Script tag is NOT executed. Notes displayed as plain text (React escapes by default)."
TC-117,Security,Access partner B's licenses as partner A,High,"Two partners exist. Logged in as partner A.","1. Try to access partner B's license key via /api/partner/licenses/:key
2. Try /api/partner/licenses with manipulated partnerId","Only partner A's licenses are returned. Partner B's data is inaccessible. API filters by session's partnerId."
TC-118,Security,Partner user accessing admin endpoints,High,"Logged in as non-admin partner user.","1. Send request to /api/admin/partners
2. Send request to /api/admin/stats","Response: 401. Admin endpoints require isAdmin=true in session."
TC-119,Security,Webhook without authentication,Medium,"Partner has webhookSecret configured.","1. Send webhook with valid body but NO x-webhook-signature header
2. Check if webhook is processed","If partner has webhookSecret AND signature+timestamp are both present, validation is enforced. If signature header is missing, validation is SKIPPED (current behavior). NOTE: This is a potential security gap — signature should be required when secret is configured."
TC-120,UI - Redeem Pages,Signup page loads with license info,High,"pendingLicenseKey in session. License exists.","1. Navigate to /redeem/signup after OAuth flow","Page shows tier information. Form fields: email, firstName, lastName, password. Submit button enabled."
TC-121,UI - Redeem Pages,Success page after redemption,High,"Just completed signup successfully.","1. After successful signup, check redirect","Success page loads showing confirmation message with user's email and name. Link/button to go to TinyCommand platform (login URL)."
TC-122,UI - Partner Layout,Sidebar navigation works,Medium,"Logged in as partner.","1. Click Dashboard in sidebar
2. Click Licenses
3. Click Generate
4. Click Reports","Each navigation link loads the correct page. Active state shown on current page's nav item."
TC-123,UI - Admin Layout,Sidebar navigation works,Medium,"Logged in as admin.","1. Click Dashboard
2. Click Partners
3. Click Generate
4. Click AppSumo","Each page loads correctly."
TC-124,UI - Status Badges,License status badges display correctly,Low,"Licenses in various statuses exist.","1. View license list
2. Check status badges for each status type","Each status has correct color coding: generated (neutral), consumed (blue), redeemed (green), upgraded (purple), downgraded (orange), deactivated (red/gray)."
TC-125,Env Config,Missing APPSUMO_CLIENT_ID,Medium,"APPSUMO_CLIENT_ID env var not set.","1. Navigate to /api/auth/partner/authorize","Response: 500 {message: 'APPSUMO_CLIENT_ID env var not configured'}."
TC-126,Env Config,Missing HEIMDALL_API_URL,Medium,"HEIMDALL_API_URL not set.","1. Complete signup flow","Falls back to default: https://heimdallapi.tinycommand.com. Provisioning should still work if default URL is reachable."
TC-127,Env Config,Missing SESSION_SECRET,Medium,"SESSION_SECRET not set.","1. Start the server","Server should either use a default or fail to start with clear error. Sessions must be secure."
